corpus	article_num	article_len	overlap_len	overlap_last_token	overlap_freq	5gram_logprob	below_threshold
provo	36	61	11	53	1	-26.12986	1
provo	37	56	6	45	13	-10.027645	0
provo	37	56	6	46	1	-12.03636	0
provo	38	49	6	6	1	-10.640458	0
provo	38	49	6	13	8	-10.775095	0
provo	38	49	6	27	1	-14.412837	0
provo	38	49	6	34	14	-9.21891662	0
provo	38	49	6	38	1	-12.15477	0
provo	38	49	6	39	2	-11.82797	0
provo	39	55	9	22	2	-14.222031	0
provo	40	66	42	42	1	-99.60970262	1
provo	41	62	8	48	8	-13.600442	0
provo	41	62	8	61	1	-13.882522	0
provo	42	57	12	51	3	-10.19270702	0
provo	43	59	7	34	1	-14.311642	0
provo	43	59	7	58	1	-16.55156	0
provo	44	72	9	28	1	-15.5836146	0
provo	45	61	6	11	1	-11.255381	0
provo	45	61	6	25	2	-10.434966	0
provo	45	61	6	45	1	-12.10941	0
provo	46	62	8	47	1	-12.773304	0
provo	46	62	8	59	1	-11.86733422	0
provo	47	62	45	60	1	-89.3345188	1
provo	48	64	8	30	1	-12.9541642	0
provo	48	64	8	56	2	-12.273029	0
provo	49	67	35	66	1	-67.862887	1
provo	50	80	64	76	1	-142.452039	1
provo	51	68	7	30	1	-12.094282	0
provo	51	68	7	33	19	-12.080341	0
provo	52	75	7	8	1	-13.0432	0
provo	52	75	7	46	3	-12.975783	0
provo	52	75	7	64	2	-12.818483	0
provo	53	67	6	16	8	-11.977766	0
provo	53	67	6	33	2	-12.666738	0
provo	53	67	6	34	1	-14.38112	0
provo	53	67	6	45	3	-9.62387	0
provo	53	67	6	63	6	-14.201167	0
provo	54	74	42	73	1	-109.463051	1
naturalstories	0	1325	9	485	1	-12.3247041	0
naturalstories	1	1189	9	96	1	-18.32019	0
naturalstories	2	1222	29	1075	1	-70.009831	1
naturalstories	3	1301	10	789	1	-15.41994	0
naturalstories	4	1212	9	57	1	-13.507001	0
naturalstories	4	1212	9	58	1	-13.757321	0
naturalstories	4	1212	9	168	4	-14.2417511	0
naturalstories	4	1212	9	229	1	-14.52404562	0
naturalstories	4	1212	9	399	1	-13.49378162	0
naturalstories	4	1212	9	684	1	-15.5958916	0
naturalstories	4	1212	9	788	1	-12.2223032	0
naturalstories	4	1212	9	960	2	-13.37918	0
naturalstories	5	1407	9	271	2	-10.1546901	0
naturalstories	5	1407	9	272	3	-12.0988801	0
naturalstories	5	1407	9	543	1	-12.8605141	0
naturalstories	6	1163	10	476	1	-16.0488408	0
naturalstories	7	1225	47	487	1	-102.159285	1
naturalstories	8	1338	47	1059	1	-101.345134	1
naturalstories	9	1200	14	30	1	-17.48889	0
naturalstories	9	1200	14	384	1	-23.00262	0
